ID ,Name ,RA ,DEC ,ℓ,b ,Magnitude,Mag. ,d ,fxpeak,Porb 
70,MAXI J1803-298,03:02.8,-29:49:49.70,1.1471843,-3.727514,i'=16.01±0.01,,,3.96E-09,7
69,AT 2019wey,35:23.3,+55:22:34.30,151.16113,5.29973,r’=17.40±0.05,i’≥24.1,>1,2.40E-08,<8.2
68,MAXI J0637-430,36:23.7,-42:52:04.70,251.532037,-20.67473903,r’=15.80±0.01,i’>20.7,,6.29E-09,
67,MAXI J1348-630,48:12.8,-63:16:28.48,309.2640654,-1.10297116,i’=14.44±0.08,i’=20.3±0.4,>3 / 2.2+0.5-0.6,1.97E-08,
66,Swift J1728.9-3613,28:58.6,-36:14:35.32,351.9548777,-0.96630145,,,,1.35E-08,
65,MAXI J1810-222,12:39.7,-22:19:25.0,8.769557,-1.98090632,,,6 / 0.73±0.03,,
64,MAXI J1631-479,31:14.2,-47:48:23.44,336.2881394,0.31248069,,,,1.06E-08,
63,MAXI J1820+070,20:21.9,+07:11:07.19,35.8535506,10.1591562,V∼14,V=18.3,3.46+2.18-1.03 / 2.96±0.33,2.26E-07,16.4518±0.0002
62,MAXI J1813-095,13:34.0,-09:31:59.20,20.1116048,3.94826128,i’=18.62±0.02,i’>19.7,,7.10E-10,
61,Swift J1658.2-4242,58:12.7,-42:41:56.09,343.2512784,0.05342834,,,,7.20E-10,
60,MAXI J1535-571,35:19.7,-57:13:47.58,323.7240835,-1.12885997,i’=21.8±0.2,,,1.44E-07,
59,IGR J17454-2919,45:27.7,-29:19:53.45,359.6444754,-0.17656165,,Ks=13.22±0.02,,2.78E-10,
58,IGR J17451-3022,45:06.7,-30:22:43.30,358.7115137,-0.65799919,Ks=17.4±0.2,Ks=17.6±0.1,,1.90E-10,∼6.284±0.001
57,MAXI J1828-249,28:58.1,-25:01:45.88,8.1151012,-6.5448459,K=17.2±0.2,Ks=20.82±0.09,,4.58E-09,
56,Swift J1753.7-2544,53:39.8,-25:45:14.20,3.6476003,0.10353821,K (not AB)∼16.5,,,7.09E-09,
55,Swift J174510.8-262411,45:10.8,-26:24:12.60,2.1108255,1.40326586,i'∼17.6,r’>23.1±0.5,<7,2.90E-08,≤21
54,Swift J1910.2-0546,10:22.8,-05:47:55.92,29.9025737,-6.84402939,i’=15.6±0.1,i’=22.18±0.04,,1.95E-08,>6.2
53,MAXI J1305-704,06:55.3,-70:27:05.11,304.2379729,-7.61898877,i’=16.61±0.05,i’=20.21±0.08,7.5+1.8-1.4,1.03E-09,9.5±0.1
52,MAXI J1836-194,35:43.5,-19:19:10.48,13.9456207,-5.35432173,V=16.33±0.08,V>19.5,7±3,1.01E-09,<4.9
51,MAXI J1543-564,43:17.2,-56:24:49.61,325.0848697,-1.12117655,z’∼20.7,KsB2=21.8±0.2,>8.5,1.43E-09,
50,Swift J1357.2-0933,57:16.8,-09:32:38.55,328.7018426,50.00430936,r'=16.3±0.05,r’=21.71±0.08,≥6 / >2.29,2.23E-10,2.8±0.3
49,MAXI J1659-152,59:01.7,-15:15:28.73,5.5153001,16.52618846,v=16.5,r’=24.20±0.08,8.6±3.7,6.80E-09,2.414±0.005
48,XTE J1752-223,52:15.1,-22:20:32.36,6.4231338,2.11431706,J=15.75±0.01,i’>24.4,6±2,5.18E-10,<7
47,XTE J1652-453,52:20.3,-45:20:39.99,340.5296446,-0.78676794,Ks>19,,,1.39E-08,
46,Swift J1539.2-6227,39:12.0,-62:28:02.30,321.0186501,-5.64277055,uvw2=18.07±0.03,i’>19.8,,6.47E-09,
45,Swift J1842.5-1124,42:17.5,-11:25:03.90,21.7270436,-3.17903051,Ks=16.75±0.05,Ks∼19.25,,9.85E-09,
44,Swift J174540.2-290005,45:40.1,-29:00:06.40,359.9494702,-0.04315833,Ks>19.55,,,4.98E-12,
43,IGR J17497-2821,49:38.0,-28:21:17.50,0.9531046,-0.45275798,Ks=17.8±0.2,,,1.09E-09,
42,XTE J1817-330,17:43.5,-33:01:07.57,359.8172195,-7.99544288,g'=14.93±0.05,V>22.0,5.5±4.5,4.94E-08,
41,XTE J1726-476,26:49.3,-47:38:24.90,342.2032857,-6.92293655,Ks=18.05,Ks>17.9,,3.53E-09,
40,XTE J1818-245,18:24.4,-24:32:17.96,7.4426994,-4.19145967,V=17.42±0.01,R>18.4,3.55±0.75,1.69E-08,
39,Swift J1753.5-0127,53:28.3,-01:27:06.22,24.8976155,12.18607327,R∼15.85,V>21.0,∼6±2,5.64E-09,3.244±0.001
38,IGR J17098-3628,09:45.9,-36:27:57.30,349.5539129,2.07451626,V∼20.8,,∼10.5,1.08E-09,
37,IGR J17091-3624,09:07.6,-36:24:25.70,349.5247361,2.21273739,I=18.66±0.03,,,5.96E-09,
36,XTE J1720-318,19:59.0,-31:45:01.11,354.6237198,3.10128253,Ks∼17.15,,6.5±3.5,1.06E-08,
35,XTE J1908+094,08:53.1,+09:23:04.84,43.2633756,0.43407857,I>22,H∼20.08±0.04,6.5±3.5,3.77E-09,
34,SAX J1711.6-3808,11:37.1,-38:07:05.70,348.4406504,0.79880572,,R>22.1,,1.27E-09,
33,XTE J1650-500,50:01.0,-49:57:43.60,336.7182648,-3.42701092,I=16.1±0.1,i’>19.4,2.6±0.7,1.52E-08,7.69±0.02
32,XTE J1118+480,18:10.8,+48:02:12.42,157.661162,62.32056579,I=13.6±0.1,i’=19.0±0.2,1.72±0.1,4.99E-10,4.0784088±5E-07
31,XTE J1859+226,58:41.6,+22:39:29.40,54.046082,8.60760698,R∼15.2,R=22.54±0.07,12.5±1.5,3.35E-08,6.58±0.05
30,SAX J1819.3-2525,19:21.6,-25:24:25.10,6.7740023,-4.78873545,V=8.8,V=13.96±0.02,6.2±0.7,2.76E-07,67.6152±0.0002
29,XTE J2012+381,12:37.7,+38:11:01.10,75.3883359,2.2470781,R=20.0±0.2,Ks=20.1±0.2,,7.77E-09,
28,XTE J1748-288,48:05.1,-28:28:25.80,0.6755628,-0.22203244,,,≥8,1.61E-08,
27,XTE J1550-564,50:58.7,-56:28:35.20,325.8824005,-1.82687035,V∼16.6,V=22.0±0.2,4.5±0.5,1.61E-07,37.0088±0.0001
26,XTE J1755-324,55:28.6,-32:28:39.00,358.0392155,-3.63136938,,,,3.41E-09,
25,GRS 1737-31,40:09.0,-31:02:24.00,357.5877503,-0.0994064,,,,6.00E-10,
